Name;Platform;Global_Sales
Yokai Watch Busters;3DS;229
LEGO Star Wars: The Complete Saga;PS3;229
Need for Speed Underground 2;XB;228
Pro Evolution Soccer 2010;PS3;228
Mario Bros.;NES;228
FIFA Soccer 09;PS2;228
LEGO Harry Potter: Years 1-4;DS;228
The Sims 3;X360;228
Pokemon Ranger: Shadows of Almia;DS;228
TOCA Touring Car Championship;PS;228
Dead Island;PS3;227
Kirby: Nightmare in Dream Land;GBA;227
Wario Land 4;GBA;226
Sonic's Ultimate Genesis Collection;PS3;226
Far Cry: Primal;PS4;226
Battlefield 1;XOne;225
Onimusha 2: Samurai's Destiny;PS2;225
Cool Boarders 2;PS;225
Paper Mario: The Thousand-Year Door;GC;225
Madden NFL 12;PS3;225
God of War: Ascension;PS3;225
Guitar Hero III: Legends of Rock;PS3;224
Sonic Advance;GBA;224
Super Monkey Ball: Banana Blitz;Wii;224
Just Dance Kids;Wii;224
Call of Duty 3;Wii;224
New Super Luigi U;WiiU;224
Assassin's Creed IV: Black Flag;XOne;223
Spyro: Season of Ice;GBA;223
Dissidia: Final Fantasy;PSP;223
Madden NFL 25;X360;223
Teenage Mutant Ninja Turtles II: The Arcade Game;NES;223
Dance Dance Revolution X2;PS2;223
Borderlands 2;PS3;223
Prince of Persia: The Sands of Time;PS2;222
Monster Hunter Tri;Wii;222
LEGO Marvel Super Heroes;X360;222
The Legend of Zelda: Link's Awakening DX;GB;222
Resident Evil 4;Wii;222
Tom Clancy's Rainbow Six: Siege;PS4;221
Star Wars: The Force Unleashed;PS3;221
Devil May Cry 3: Dante's Awakening Special Edition;PS2;221
Frogger;2600;22
Guitar Hero II;X360;22
Forza Motorsport 5;XOne;22
Rock Band 2;X360;22
Pro Yakyuu Family Stadium;NES;22
Wario Land 3;GB;22
Need for Speed: Hot Pursuit;X360;22
LEGO Indiana Jones: The Original Adventures;DS;22
BioShock 2;X360;22
High School Musical: Makin' the Cut!;DS;22
Star Wars: Knights of the Old Republic;XB;219
Kirby's Pinball Land;GB;219
Donkey Kong Country;GB;219
Madden NFL 15;PS4;219
Pro Evolution Soccer 2012;PS3;219
Saints Row;X360;218
Yu-Gi-Oh: Duel Monsters 4;GB;218
ATV Offroad Fury 2;PS2;218
FIFA 15;XOne;218
Mario & Luigi: Superstar Saga;GBA;217
Star Wars: Rogue Squadron;N64;217
Tennis;NES;217
Tom Clancy's The Division;XOne;216
Final Fantasy XIII;X360;216
The Sims: House Party;PC;216
Scribblenauts;DS;216
Sonic Unleashed;Wii;216
Syphon Filter 2;PS;215
Pokemon Ranger;DS;215
Volleyball;NES;215
Skylanders SWAP Force;Wii;215
Overwatch;PS4;214
Hitman: Absolution;PS3;214
SimCity 2000;PC;214
R.C. Pro-Am;NES;214
Super Mario RPG: Legend of the Seven Stars;SNES;214
Mahjong;NES;214
Demon Attack;2600;213
Call of Duty: Roads to Victory;PSP;213
Dance Dance Revolution Extreme;PS2;213
Final Fantasy Tactics Advance;GBA;213
Your Shape featuring Jenny McCarthy;Wii;212
Project Gotham Racing;XB;212
Golf;GB;212
NBA 2K12;PS3;211
Tony Hawk's Pro Skater;N64;211
Need for Speed: Hot Pursuit 2;PS2;211
PES 2009: Pro Evolution Soccer;PS3;211
Dynasty Warriors 4;PS2;211
NBA 2K14;PS3;211
Parasite Eve;PS;21
Tetris DS;DS;21
Project Gotham Racing (JP weekly sales);XB;21
Scooby-Doo! Night of 100 Frights;PS2;21
Battlefield: Hardline;PS4;21
